PANTONENAME,UNIQUECODE,L,a,b
10426 C,10329,30,5,-31
10427 C,10330,27,9,-41
10428 C,10331,29,22,-42
10429 C,10332,24,23,-36
10430 C,10333,23,17,-28
10431 C,10334,64,-9,-9
10432 C,10335,50,-9,-12
10433 C,10336,45,-19,-28
10434 C,10337,37,-15,-28
10435 C,10338,50,-1,-7
10436 C,10339,46,-2,-4
10437 C,10340,45,-18,7
10438 C,10341,57,-32,17
10439 C,10342,56,-31,5
10440 C,10343,51,-30,-14
10441 C,10344,39,-23,-15
10442 C,10345,37,-12,-7
10443 C,10346,61,16,13
10444 C,10347,54,12,6
10445 C,10348,55,10,6
10446 C,10349,59,6,4
10447 C,10350,54,5,2
10448 C,10351,60,2,0
10449 C,10352,75,-3,2
10450 C,10353,71,-1,0
10451 C,10354,49,-1,1
10452 C,10355,43,-1,-1
10453 C,10356,38,-2,-3
10454 C,10357,32,0,0
105 C,10358,52,-1,45
106 C,10359,91,-6,74
107 C,10360,90,-4,83
108 C,10361,89,0,86
109 C,10362,86,5,85
110 C,10363,73,8,74
111 C,10364,59,4,62
112 C,10365,56,2,56
113 C,10366,89,-3,69
114 C,10367,89,-2,75
115 C,10368,88,0,82
116 C,10369,85,7,84
117 C,10370,66,12,69
118 C,10371,58,8,62
119 C,10372,50,1,45
120 C,10373,89,1,61
1205 C,10374,90,0,43
121 C,10375,88,2,65
1215 C,10376,88,4,53
122 C,10377,86,6,72
1225 C,10378,84,11,69
123 C,10379,83,11,76
1235 C,10380,80,17,77
124 C,10381,74,16,76
1245 C,10382,64,13,64
125 C,10383,59,12,63
1255 C,10384,58,9,55
126 C,10385,52,8,53
1265 C,10386,47,6,41
127 C,10387,89,-3,57
128 C,10388,86,0,67
129 C,10389,84,2,71
130 C,10390,75,19,77
131 C,10391,63,19,67
132 C,10392,52,12,57
133 C,10393,38,3,36
134 C,10394,87,7,53
1345 C,10395,86,9,42
135 C,10396,84,12,61
1355 C,10397,84,14,51
