PANTONENAME,UNIQUECODE,L,a,b
571 C,11905,83,-24,-1
572 C,11906,85,-22,-1
573 C,11907,87,-18,0
574 C,11908,37,-12,23
5743 C,11909,29,-9,18
5747 C,11910,28,-8,22
575 C,11911,51,-20,35
5753 C,11912,42,-11,24
5757 C,11913,47,-9,36
576 C,11914,61,-24,38
5763 C,11915,50,-9,24
5767 C,11916,58,-10,35
577 C,11917,76,-19,30
5773 C,11918,58,-9,21
5777 C,11919,66,-9,30
578 C,11920,80,-15,24
5783 C,11921,68,-8,18
5787 C,11922,75,-8,24
579 C,11923,81,-14,23
5793 C,11924,74,-7,17
5797 C,11925,80,-7,21
5803 C,11926,79,-6,15
5807 C,11927,83,-6,18
581 C,11928,39,-4,34
5815 C,11929,34,-4,27
582 C,11930,57,-9,56
5825 C,11931,53,-5,37
583 C,11932,75,-16,72
5835 C,11933,63,-4,35
584 C,11934,84,-14,60
5845 C,11935,69,-5,31
585 C,11936,87,-12,52
5855 C,11937,75,-5,27
586 C,11938,88,-12,50
5865 C,11939,80,-5,25
587 C,11940,89,-10,42
5875 C,11941,82,-5,24
600 C,11942,92,-7,38
6001 C,11943,85,-1,40
6002 C,11944,83,3,46
6003 C,11945,77,6,57
6004 C,11946,74,10,64
6005 C,11947,72,12,69
6006 C,11948,67,13,65
6007 C,11949,57,20,51
6008 C,11950,67,8,22
6009 C,11951,61,9,26
601 C,11952,91,-8,43
6010 C,11953,56,10,28
6011 C,11954,53,11,31
6012 C,11955,44,12,32
6013 C,11956,38,14,30
6014 C,11957,36,6,24
6015 C,11958,78,18,30
6016 C,11959,73,30,44
6017 C,11960,71,36,54
6018 C,11961,67,41,60
6019 C,11962,61,48,67
602 C,11963,91,-9,53
6020 C,11964,56,52,65
6021 C,11965,55,48,58
6022 C,11966,82,17,12
6023 C,11967,78,19,17
6024 C,11968,70,28,22
6025 C,11969,64,33,27
6026 C,11970,60,36,31
6027 C,11971,53,37,38
6028 C,11972,50,36,34
6029 C,11973,75,12,4
603 C,11974,88,-8,69
6030 C,11975,69,14,8
6031 C,11976,63,15,10
6032 C,11977,59,17,12
6033 C,11978,55,18,15
6034 C,11979,51,20,18
6035 C,11980,46,21,19
6036 C,11981,64,19,1
6037 C,11982,56,22,4
6038 C,11983,50,25,5
6039 C,11984,44,27,7
604 C,11985,86,-7,79
6040 C,11986,38,28,11
6041 C,11987,34,28,12
6042 C,11988,26,24,10
6043 C,11989,71,39,8
6044 C,11990,68,42,12
6045 C,11991,65,45,14
6046 C,11992,61,48,20
6047 C,11993,52,52,32
6048 C,11994,52,52,28
6049 C,11995,47,48,38
605 C,11996,82,-4,81
6050 C,11997,78,35,-8
6051 C,11998,70,49,-1
6052 C,11999,63,50,2
6053 C,12000,62,61,8
6054 C,12001,56,56,4
6055 C,12002,51,58,12
6056 C,12003,48,58,16
6057 C,12004,57,52,-15
6058 C,12005,52,55,-13
6059 C,12006,49,56,-11
606 C,12007,74,-2,74
6060 C,12008,47,56,-9
6061 C,12009,44,56,-8
6062 C,12010,43,56,-5
6063 C,12011,39,51,-1
6064 C,12012,75,15,-9
6065 C,12013,69,20,-6
6066 C,12014,65,22,-6
6067 C,12015,60,23,-7
6068 C,12016,56,24,-6
6069 C,12017,49,25,-5
607 C,12018,90,-6,36
6070 C,12019,49,25,-5
6071 C,12020,54,16,-15
6072 C,12021,40,19,-15
6073 C,12022,34,19,-15
6074 C,12023,32,19,-13
6075 C,12024,28,18,-12
6076 C,12025,22,17,-10
6077 C,12026,19,10,-5
6078 C,12027,67,24,-25
6079 C,12028,60,30,-28
608 C,12029,88,-6,44
6080 C,12030,53,32,-30
6081 C,12031,50,35,-32
6082 C,12032,44,36,-31
6083 C,12033,38,38,-32
6084 C,12034,34,36,-30
6085 C,12035,83,2,-16
6086 C,12036,74,2,-20
6087 C,12037,69,3,-22
6088 C,12038,63,4,-26
6089 C,12039,58,5,-32
609 C,12040,88,-7,50
6090 C,12041,50,7,-32
6091 C,12042,42,7,-35
6092 C,12043,61,8,-30
6093 C,12044,58,8,-32
6094 C,12045,53,10,-34
6095 C,12046,50,11,-37
6096 C,12047,43,13,-39
6097 C,12048,37,14,-42
6098 C,12049,32,15,-42
6099 C,12050,68,1,-32
610 C,12051,85,-6,62
6100 C,12052,60,2,-33
6101 C,12053,54,4,-39
6102 C,12054,50,4,-38
6103 C,12055,36,8,-41
6104 C,12056,27,13,-48
6105 C,12057,26,13,-45
6106 C,12058,77,-1,-13
6107 C,12059,73,-1,-16
6108 C,12060,66,-3,-18
6109 C,12061,58,-3,-21
611 C,12062,80,-7,73
6110 C,12063,56,-3,-21
6111 C,12064,50,-3,-22
6112 C,12065,38,-5,-24
6113 C,12066,55,-8,-13
6114 C,12067,52,-7,-13
6115 C,12068,47,-8,-12
6116 C,12069,42,-8,-13
6117 C,12070,39,-8,-12
6118 C,12071,28,-7,-7
6119 C,12072,25,-6,-6
612 C,12073,72,-4,72
6120 C,12074,63,-19,-35
6121 C,12075,60,-21,-37
6122 C,12076,54,-16,-40
6123 C,12077,52,-15,-41
6124 C,12078,49,-13,-41
6125 C,12079,46,-13,-38
6126 C,12080,38,-5,-42
6127 C,12081,68,-21,-22
6128 C,12082,62,-26,-23
6129 C,12083,56,-27,-25
613 C,12084,65,-1,66
6130 C,12085,51,-25,-23
6131 C,12086,44,-21,-22
6132 C,12087,47,-21,-26
6133 C,12088,39,-18,-24
6134 C,12089,77,-23,-13
6135 C,12090,71,-22,-12
6136 C,12091,63,-28,-12
6137 C,12092,59,-30,-11
6138 C,12093,54,-33,-12
6139 C,12094,50,-31,-11
614 C,12095,85,-5,30
6140 C,12096,47,-30,-10
6141 C,12097,78,-26,-4
6142 C,12098,72,-33,0
6143 C,12099,64,-43,3
6144 C,12100,60,-45,7
6145 C,12101,55,-43,10
6146 C,12102,51,-42,13
6147 C,12103,47,-40,15
6148 C,12104,89,-4,-8
6149 C,12105,84,-8,-7
615 C,12106,83,-5,33
6150 C,12107,78,-14,-5
6151 C,12108,71,-20,-6
6152 C,12109,62,-25,0
6153 C,12110,53,-27,3
6154 C,12111,45,-32,8
6155 C,12112,64,-22,2
6156 C,12113,58,-25,5
6157 C,12114,53,-28,7
6158 C,12115,48,-31,9
6159 C,12116,42,-33,7
616 C,12117,80,-5,34
6160 C,12118,35,-30,10
6161 C,12119,28,-23,6
6162 C,12120,63,-42,15
6163 C,12121,59,-48,18
6164 C,12122,58,-48,19
6165 C,12123,54,-47,23
6166 C,12124,51,-46,26
6167 C,12125,43,-41,24
6168 C,12126,44,-40,21
6169 C,12127,70,-34,23
617 C,12128,74,-5,44
6170 C,12129,66,-34,23
6171 C,12130,62,-36,27
6172 C,12131,56,-33,24
6173 C,12132,50,-40,29
6174 C,12133,47,-38,27
6175 C,12134,43,-31,22
6176 C,12135,75,-18,9
6177 C,12136,68,-20,11
6178 C,12137,63,-25,15
6179 C,12138,57,-28,17
618 C,12139,65,-4,50
6180 C,12140,52,-30,18
6181 C,12141,49,-31,20
6182 C,12142,44,-31,21
6183 C,12143,55,-9,9
6184 C,12144,52,-11,10
6185 C,12145,47,-11,12
6186 C,12146,41,-11,12
6187 C,12147,38,-10,12
6188 C,12148,33,-10,12
6189 C,12149,24,-9,5
619 C,12150,60,-3,52
6190 C,12151,92,-9,22
6191 C,12152,91,-10,31
6192 C,12153,87,-17,48
6193 C,12154,83,-20,67
6194 C,12155,78,-23,75
6195 C,12156,69,-24,68
6196 C,12157,68,-24,67
6197 C,12158,87,-2,2
6198 C,12159,81,-3,4
6199 C,12160,76,-4,8
620 C,12161,52,-2,50
6200 C,12162,74,-4,10
6201 C,12163,66,-5,13
6202 C,12164,62,-6,15
6203 C,12165,59,-5,17
6204 C,12166,67,-1,9
6205 C,12167,60,-1,13
6206 C,12168,57,-1,14
6207 C,12169,54,-1,14
6208 C,12170,47,0,16
6209 C,12171,42,-1,16
621 C,12172,88,-8,2
6210 C,12173,38,-2,17
6211 C,12174,61,-3,-5
6212 C,12175,55,-3,-5
6213 C,12176,50,-2,-4
6214 C,12177,47,-2,-3
6215 C,12178,43,-3,-3
6216 C,12179,35,-1,-1
6217 C,12180,31,-2,1
6218 C,12181,65,-2,-9
6219 C,12182,59,-4,-9
622 C,12183,80,-9,1
6220 C,12184,54,-3,-8
6221 C,12185,50,-4,-8
6222 C,12186,46,-4,-8
6223 C,12187,39,-4,-9
6224 C,12188,35,-5,-8
623 C,12189,73,-13,2
624 C,12190,62,-17,3
625 C,12191,50,-20,2
626 C,12192,35,-22,3
627 C,12193,18,-13,-1
628 C,12194,86,-12,-8
629 C,12195,81,-17,-12
630 C,12196,75,-22,-16
631 C,12197,67,-28,-22
632 C,12198,56,-26,-26
633 C,12199,45,-19,-27
634 C,12200,37,-14,-28
635 C,12201,84,-16,-13
636 C,12202,81,-21,-17
637 C,12203,73,-28,-25
638 C,12204,66,-28,-32
639 C,12205,57,-21,-36
640 C,12206,51,-15,-39
641 C,12207,41,-9,-39
642 C,12208,87,-3,-7
643 C,12209,85,-4,-9
644 C,12210,73,-5,-17
645 C,12211,65,-7,-23
646 C,12212,55,-7,-28
647 C,12213,39,-7,-34
648 C,12214,19,2,-34
649 C,12215,89,-2,-5
650 C,12216,86,-3,-8
651 C,12217,75,-3,-16
652 C,12218,63,-5,-22
653 C,12219,40,-4,-34
654 C,12220,24,0,-36
655 C,12221,15,3,-33
656 C,12222,91,-2,-4
657 C,12223,85,-3,-12
658 C,12224,80,-4,-18
659 C,12225,66,-4,-33
660 C,12226,52,-3,-46
661 C,12227,25,18,-58
662 C,12228,14,23,-53
663 C,12229,90,2,-3
664 C,12230,88,3,-4
665 C,12231,78,6,-9
666 C,12232,63,10,-15
667 C,12233,47,13,-20
668 C,12234,36,16,-23
669 C,12235,21,17,-24
670 C,12236,87,9,-4
671 C,12237,81,19,-8
672 C,12238,73,29,-12
673 C,12239,66,37,-13
674 C,12240,53,50,-15
675 C,12241,41,58,-11
676 C,12242,32,56,-2
677 C,12243,85,9,-3
678 C,12244,83,12,-5
679 C,12245,80,14,-6
680 C,12246,68,23,-9
681 C,12247,54,31,-11
682 C,12248,42,38,-11
683 C,12249,31,40,-8
684 C,12250,83,12,-3
685 C,12251,78,17,-5
686 C,12252,71,20,-6
687 C,12253,62,25,-8
688 C,12254,51,32,-10
689 C,12255,37,37,-10
690 C,12256,24,32,-6
691 C,12257,85,9,2
692 C,12258,80,14,2
693 C,12259,72,20,3
694 C,12260,62,26,4
695 C,12261,54,31,4
696 C,12262,42,35,7
697 C,12263,36,34,10
698 C,12264,88,11,2
699 C,12265,83,19,1
700 C,12266,77,27,4
701 C,12267,67,39,6
702 C,12268,55,48,10
703 C,12269,44,51,19
704 C,12270,37,47,26
705 C,12271,90,9,1
706 C,12272,86,15,1
707 C,12273,80,26,1
708 C,12274,72,41,6
709 C,12275,61,57,15
710 C,12276,53,63,27
711 C,12277,46,61,39
712 C,12278,85,14,29
713 C,12279,82,19,36
714 C,12280,77,25,49
715 C,12281,69,36,63
716 C,12282,63,41,69
717 C,12283,55,45,63
718 C,12284,48,43,58
719 C,12285,83,10,23
720 C,12286,78,13,29
721 C,12287,72,17,36
722 C,12288,61,22,45
723 C,12289,52,26,48
724 C,12290,41,27,45
725 C,12291,35,25,35
726 C,12292,80,8,20
727 C,12293,76,9,24
728 C,12294,70,12,28
729 C,12295,58,16,34
730 C,12296,48,19,40
731 C,12297,34,21,37
732 C,12298,27,18,30
7401 C,12299,91,-1,32
7402 C,12300,87,0,33
7403 C,12301,86,1,42
7404 C,12302,88,-3,74
7405 C,12303,84,2,82
7406 C,12304,81,6,81
7407 C,12305,69,8,46
7408 C,12306,80,11,81
7409 C,12307,77,14,73
7410 C,12308,78,25,40
7411 C,12309,74,18,47
7412 C,12310,62,27,53
7413 C,12311,64,29,56
7414 C,12312,55,30,56
7415 C,12313,79,14,14
7416 C,12314,60,47,36
7417 C,12315,54,56,44
7418 C,12316,52,48,21
7419 C,12317,46,43,12
7420 C,12318,36,51,13
7421 C,12319,24,34,5
7422 C,12320,86,15,2
7423 C,12321,59,52,5
7424 C,12322,55,64,0
7425 C,12323,41,58,9
7426 C,12324,36,56,16
7427 C,12325,34,50,23
7428 C,12326,28,30,2
7429 C,12327,80,16,-3
7430 C,12328,74,22,-4
7431 C,12329,62,32,-5
7432 C,12330,51,39,-2
7433 C,12331,42,47,0
7434 C,12332,38,45,2
7435 C,12333,33,44,-3
7436 C,12334,89,8,-5
7437 C,12335,75,15,-13
7438 C,12336,72,27,-21
7439 C,12337,62,22,-19
7440 C,12338,56,23,-19
7441 C,12339,50,40,-42
7442 C,12340,43,52,-52
7443 C,12341,88,2,-7
7444 C,12342,76,5,-19
7445 C,12343,68,7,-17
7446 C,12344,58,13,-35
7447 C,12345,34,17,-25
7448 C,12346,26,11,-9
7449 C,12347,20,15,-8
7450 C,12348,79,0,-12
7451 C,12349,69,-2,-33
7452 C,12350,62,6,-40
7453 C,12351,67,-4,-34
7454 C,12352,57,-10,-25
7455 C,12353,40,8,-49
7456 C,12354,48,8,-39
7457 C,12355,86,-11,-9
7458 C,12356,69,-17,-19
7459 C,12357,58,-21,-23
7460 C,12358,52,-16,-39
7461 C,12359,49,-13,-41
7462 C,12360,34,-5,-38
7463 C,12361,16,-4,-24
7464 C,12362,80,-18,-2
7465 C,12363,71,-40,-1
7466 C,12364,65,-37,-16
7467 C,12365,61,-34,-16
7468 C,12366,45,-18,-29
7469 C,12367,37,-13,-29
7470 C,12368,35,-18,-20
7471 C,12369,82,-32,-5
7472 C,12370,69,-30,-6
7473 C,12371,57,-36,-2
7474 C,12372,45,-26,-14
7475 C,12373,48,-18,-7
7476 C,12374,31,-20,-10
7477 C,12375,30,-12,-13
7478 C,12376,85,-29,10
7479 C,12377,74,-58,29
7480 C,12378,68,-56,28
7481 C,12379,65,-58,39
7482 C,12380,57,-51,31
7483 C,12381,35,-26,15
7484 C,12382,32,-30,8
7485 C,12383,87,-10,15
7486 C,12384,86,-24,33
7487 C,12385,81,-41,49
7488 C,12386,78,-47,56
7489 C,12387,64,-31,40
7490 C,12388,59,-26,36
7491 C,12389,54,-13,36
7492 C,12390,80,-14,36
7493 C,12391,78,-11,24
7494 C,12392,69,-12,17
7495 C,12393,61,-14,45
7496 C,12394,54,-17,50
7497 C,12395,48,-1,15
7498 C,12396,40,-9,23
7499 C,12397,91,-3,27
7500 C,12398,84,0,22
7501 C,12399,81,1,23
7502 C,12400,76,3,26
7503 C,12401,64,-1,28
7504 C,12402,53,7,19
7505 C,12403,44,11,23
7506 C,12404,88,2,22
7507 C,12405,87,10,33
7508 C,12406,78,9,34
7509 C,12407,71,13,41
7510 C,12408,62,18,48
7511 C,12409,56,20,51
7512 C,12410,49,23,49
7513 C,12411,78,14,13
7514 C,12412,71,16,22
7515 C,12413,63,19,27
7516 C,12414,44,26,36
7517 C,12415,37,27,34
7518 C,12416,37,12,10
7519 C,12417,34,6,11
7520 C,12418,81,14,13
7521 C,12419,67,11,18
7522 C,12420,53,28,25
7523 C,12421,49,32,17
7524 C,12422,46,33,22
7525 C,12423,49,17,23
7526 C,12424,35,34,35
7527 C,12425,84,-1,7
7528 C,12426,76,2,7
7529 C,12427,70,2,8
7530 C,12428,62,3,11
7531 C,12429,45,4,13
7532 C,12430,36,5,13
7533 C,12431,25,5,12
7534 C,12432,82,-1,7
7535 C,12433,72,-1,11
7536 C,12434,66,-1,12
7537 C,12435,70,-3,4
7538 C,12436,63,-5,5
7539 C,12437,60,-2,3
7540 C,12438,33,-1,-4
7541 C,12439,89,-3,-2
7542 C,12440,75,-8,-6
7543 C,12441,67,-3,-7
7544 C,12442,55,-4,-10
7545 C,12443,35,-5,-12
7546 C,12444,22,-5,-12
7547 C,12445,11,-3,-10
7548 C,12446,83,10,83
7549 C,12447,79,19,81
7550 C,12448,65,18,69
7551 C,12449,57,15,62
7552 C,12450,38,9,35
7553 C,12451,31,5,24
7554 C,12452,27,4,14
7555 C,12453,69,11,68
7556 C,12454,61,10,58
7557 C,12455,54,7,50
7558 C,12456,50,9,45
7559 C,12457,48,10,40
7560 C,12458,44,5,33
7561 C,12459,41,1,25
7562 C,12460,66,7,35
7563 C,12461,68,16,61
7564 C,12462,65,26,69
7565 C,12463,59,29,56
7566 C,12464,50,27,39
7567 C,12465,41,19,30
7568 C,12466,38,14,23
7569 C,12467,64,26,60
7570 C,12468,63,26,57
7571 C,12469,60,24,51
7572 C,12470,55,23,45
7573 C,12471,50,23,43
7574 C,12472,49,18,36
7575 C,12473,43,12,31
7576 C,12474,65,29,43
7577 C,12475,63,35,51
7578 C,12476,59,42,52
7579 C,12477,55,50,52
7580 C,12478,49,43,41
7581 C,12479,39,24,25
7582 C,12480,34,11,15
7583 C,12481,53,37,47
7584 C,12482,50,37,46
7585 C,12483,49,31,37
7586 C,12484,44,29,34
7587 C,12485,41,28,31
7588 C,12486,38,17,23
7589 C,12487,32,7,12
7590 C,12488,76,8,16
7591 C,12489,59,23,31
7592 C,12490,48,36,38
7593 C,12491,40,37,32
7594 C,12492,34,28,22
7595 C,12493,31,19,17
7596 C,12494,29,13,13
7597 C,12495,50,56,49
7598 C,12496,47,47,42
7599 C,12497,43,47,40
7600 C,12498,37,33,28
7601 C,12499,36,27,26
7602 C,12500,37,19,23
7603 C,12501,32,15,17
7604 C,12502,87,5,2
7605 C,12503,79,13,9
7606 C,12504,68,24,15
7607 C,12505,56,33,22
7608 C,12506,43,37,26
7609 C,12507,35,30,20
7610 C,12508,29,23,12
7611 C,12509,79,11,10
7612 C,12510,68,17,13
7613 C,12511,62,18,14
7614 C,12512,57,14,11
7615 C,12513,47,12,7
7616 C,12514,36,12,5
7617 C,12515,29,12,4
7618 C,12516,56,33,33
7619 C,12517,48,45,37
7620 C,12518,43,53,36
7621 C,12519,39,54,33
7622 C,12520,34,45,24
7623 C,12521,33,41,23
7624 C,12522,32,35,20
7625 C,12523,55,55,42
7626 C,12524,46,57,44
7627 C,12525,39,50,32
7628 C,12526,37,47,29
7629 C,12527,30,26,12
7630 C,12528,27,22,11
7631 C,12529,24,20,8
7632 C,12530,82,5,0
7633 C,12531,70,12,2
7634 C,12532,55,38,1
7635 C,12533,47,58,9
7636 C,12534,42,61,17
7637 C,12535,36,43,9
7638 C,12536,31,36,7
7639 C,12537,50,16,2
7640 C,12538,39,37,5
7641 C,12539,34,43,6
7642 C,12540,30,33,-2
7643 C,12541,28,27,-2
7644 C,12542,25,22,-4
7645 C,12543,23,19,-2
7646 C,12544,53,24,-5
7647 C,12545,43,48,-6
7648 C,12546,36,53,-10
7649 C,12547,32,50,-13
7650 C,12548,28,40,-14
7651 C,12549,28,33,-16
7652 C,12550,25,29,-14
7653 C,12551,58,7,-6
7654 C,12552,55,21,-14
7655 C,12553,48,35,-19
7656 C,12554,38,42,-22
7657 C,12555,29,35,-18
7658 C,12556,31,29,-17
7659 C,12557,29,21,-10
7660 C,12558,62,5,-9
7661 C,12559,51,18,-17
7662 C,12560,37,32,-26
7663 C,12561,31,35,-31
7664 C,12562,31,31,-31
7665 C,12563,30,27,-26
7666 C,12564,35,9,-10
7667 C,12565,52,0,-22
7668 C,12566,48,6,-29
7669 C,12567,43,12,-33
7670 C,12568,38,14,-36
7671 C,12569,34,17,-37
7672 C,12570,31,19,-37
7673 C,12571,37,9,-29
7674 C,12572,59,4,-22
7675 C,12573,55,6,-24
7676 C,12574,46,16,-30
7677 C,12575,40,23,-32
7678 C,12576,36,25,-35
7679 C,12577,31,23,-36
7680 C,12578,27,27,-36
7681 C,12579,68,-3,-21
7682 C,12580,55,-2,-30
7683 C,12581,45,-1,-38
7684 C,12582,39,1,-39
7685 C,12583,36,3,-42
7686 C,12584,33,1,-42
7687 C,12585,29,9,-47
7688 C,12586,59,-15,-34
7689 C,12587,56,-17,-35
7690 C,12588,46,-14,-36
7691 C,12589,39,-9,-37
7692 C,12590,34,-8,-35
7693 C,12591,29,-6,-33
7694 C,12592,26,-6,-29
7695 C,12593,66,-12,-16
7696 C,12594,60,-14,-17
7697 C,12595,53,-14,-20
7698 C,12596,46,-12,-20
7699 C,12597,41,-12,-21
7700 C,12598,36,-13,-25
7701 C,12599,34,-14,-25
7702 C,12600,64,-23,-24
7703 C,12601,59,-27,-27
7704 C,12602,51,-21,-30
7705 C,12603,43,-17,-29
7706 C,12604,41,-16,-29
7707 C,12605,38,-17,-23
7708 C,12606,33,-16,-21
7709 C,12607,68,-24,-13
7710 C,12608,62,-34,-19
7711 C,12609,57,-30,-19
7712 C,12610,50,-25,-22
7713 C,12611,48,-27,-16
7714 C,12612,45,-26,-14
7715 C,12613,38,-24,-12
7716 C,12614,56,-37,-6
7717 C,12615,50,-34,-5
7718 C,12616,45,-30,-7
7719 C,12617,41,-29,-6
7720 C,12618,37,-28,-3
7721 C,12619,35,-24,-8
7722 C,12620,31,-23,-6
7723 C,12621,62,-33,8
7724 C,12622,55,-44,12
7725 C,12623,49,-43,18
7726 C,12624,45,-40,17
7727 C,12625,41,-37,15
7728 C,12626,38,-35,12
7729 C,12627,33,-29,5
7730 C,12628,56,-34,20
7731 C,12629,50,-41,25
7732 C,12630,45,-42,23
7733 C,12631,41,-38,18
7734 C,12632,37,-27,12
7735 C,12633,34,-18,12
7736 C,12634,33,-15,7
7737 C,12635,62,-34,47
7738 C,12636,60,-43,41
7739 C,12637,57,-46,36
7740 C,12638,53,-40,34
7741 C,12639,51,-35,31
7742 C,12640,46,-26,26
7743 C,12641,41,-21,20
7744 C,12642,74,-14,71
7745 C,12643,69,-12,63
7746 C,12644,62,-11,52
7747 C,12645,57,-12,46
7748 C,12646,52,-10,39
7749 C,12647,47,-7,32
7750 C,12648,42,-7,26
7751 C,12649,74,-2,55
7752 C,12650,73,1,68
7753 C,12651,67,3,64
7754 C,12652,57,2,50
7755 C,12653,50,0,40
7756 C,12654,43,-1,29
7757 C,12655,40,-1,25
7758 C,12656,78,-6,77
7759 C,12657,72,-4,73
7760 C,12658,55,-3,47
7761 C,12659,47,-5,31
7762 C,12660,41,-9,23
7763 C,12661,38,-6,18
7764 C,12662,35,-5,18
7765 C,12663,72,-8,66
7766 C,12664,69,-7,65
7767 C,12665,64,-4,56
7768 C,12666,53,0,41
7769 C,12667,42,1,27
7770 C,12668,38,0,20
7771 C,12669,31,-1,13
8001 C,12670,58,0,0
8002 C,12671,55,2,5
8003 C,12672,54,3,7
8004 C,12673,52,3,12
8005 C,12674,50,5,15
8006 C,12675,49,6,18
801 C,12676,59,-22,-36
802 C,12677,76,-62,64
8020 C,12678,58,5,10
8021 C,12679,57,10,13
8022 C,12680,54,18,24
8023 C,12681,50,26,31
8024 C,12682,48,31,40
8025 C,12683,45,33,42
803 C,12684,92,-6,89
804 C,12685,77,26,58
8040 C,12686,60,1,2
8041 C,12687,57,8,7
8042 C,12688,55,12,11
8043 C,12689,52,20,16
8044 C,12690,48,27,25
8045 C,12691,46,28,28
805 C,12692,66,54,25
806 C,12693,60,77,-19
8060 C,12694,58,8,-3
8061 C,12695,55,14,0
8062 C,12696,52,21,1
8063 C,12697,49,29,5
8064 C,12698,47,29,8
8065 C,12699,45,30,13
807 C,12700,55,79,-34
808 C,12701,66,-47,4
8080 C,12702,58,7,-6
8081 C,12703,53,20,-10
8082 C,12704,49,28,-12
8083 C,12705,45,39,-15
8084 C,12706,42,48,-10
8085 C,12707,39,51,-4
809 C,12708,89,-16,80
810 C,12709,87,4,77
8100 C,12710,55,12,-11
8101 C,12711,51,20,-15
8102 C,12712,48,27,-19
8103 C,12713,43,36,-24
8104 C,12714,39,45,-19
8105 C,12715,36,46,-13
811 C,12716,71,40,37
812 C,12717,64,65,-3
8120 C,12718,58,5,-8
8121 C,12719,55,10,-12
8122 C,12720,50,17,-17
8123 C,12721,45,27,-24
8124 C,12722,42,33,-20
8125 C,12723,39,33,-16
813 C,12724,61,75,-26
814 C,12725,52,31,-52
8140 C,12726,54,8,-13
8141 C,12727,50,11,-18
8142 C,12728,45,20,-28
8143 C,12729,40,26,-34
8144 C,12730,39,23,-23
8145 C,12731,36,24,-21
8160 C,12732,58,2,-8
8161 C,12733,54,3,-14
8162 C,12734,44,12,-30
8163 C,12735,40,17,-38
8164 C,12736,36,20,-38
8165 C,12737,33,21,-37
8180 C,12738,59,-3,-7
8181 C,12739,53,-4,-19
8182 C,12740,47,-3,-28
8183 C,12741,41,1,-39
8184 C,12742,37,-2,-38
8185 C,12743,32,0,-35
8200 C,12744,58,-7,-10
8201 C,12745,55,-9,-14
8202 C,12746,52,-11,-21
8203 C,12747,48,-14,-29
8204 C,12748,46,-15,-19
8205 C,12749,43,-15,-17
8220 C,12750,57,-8,-10
8221 C,12751,55,-11,-15
8222 C,12752,53,-16,-20
8223 C,12753,50,-20,-25
8224 C,12754,45,-23,-22
8225 C,12755,41,-22,-18
8240 C,12756,60,-5,-4
8241 C,12757,56,-13,-10
8242 C,12758,55,-18,-14
8243 C,12759,52,-23,-19
8244 C,12760,49,-22,-10
8245 C,12761,47,-23,-7
8260 C,12762,58,-8,-5
8261 C,12763,56,-13,-7
8262 C,12764,53,-19,-8
8263 C,12765,50,-26,-9
8264 C,12766,46,-26,-6
8265 C,12767,41,-28,-2
8280 C,12768,60,-9,-3
8281 C,12769,59,-14,-3
8282 C,12770,58,-21,-4
8283 C,12771,57,-30,-3
8284 C,12772,55,-24,3
8285 C,12773,53,-27,7
8300 C,12774,61,-10,3
8301 C,12775,59,-15,5
8302 C,12776,58,-21,8
8303 C,12777,57,-29,13
8304 C,12778,55,-23,15
8305 C,12779,51,-23,18
8320 C,12780,61,-5,2
8321 C,12781,60,-13,14
8322 C,12782,60,-18,20
8323 C,12783,59,-25,27
8324 C,12784,58,-20,29
8325 C,12785,55,-19,32
8340 C,12786,61,-6,12
8341 C,12787,61,-10,19
8342 C,12788,62,-13,29
8343 C,12789,61,-17,37
8344 C,12790,59,-16,46
8345 C,12791,57,-14,51
8360 C,12792,62,-6,15
8361 C,12793,62,-7,25
8362 C,12794,63,-7,35
8363 C,12795,64,-6,47
8364 C,12796,61,-3,44
8365 C,12797,59,-1,48
8380 C,12798,61,-2,7
8381 C,12799,60,-2,14
8382 C,12800,60,0,22
8383 C,12801,60,3,29
8384 C,12802,57,8,41
8385 C,12803,55,10,44
8400 C,12804,56,0,0
8401 C,12805,53,-1,1
8402 C,12806,47,0,0
8403 C,12807,40,0,1
8404 C,12808,34,1,3
8405 C,12809,30,2,4
8420 C,12810,59,1,-1
8421 C,12811,54,1,-1
8422 C,12812,48,1,1
8423 C,12813,41,2,1
8424 C,12814,37,6,4
8425 C,12815,34,6,6
8440 C,12816,57,8,2
8441 C,12817,55,14,6
8442 C,12818,52,22,8
8443 C,12819,50,29,14
8444 C,12820,47,36,23
8445 C,12821,45,39,26
8460 C,12822,58,2,-3
8461 C,12823,53,5,-4
8462 C,12824,50,7,-4
8463 C,12825,45,10,-5
8464 C,12826,37,18,-3
8465 C,12827,36,18,0
8480 C,12828,41,-10,-14
8481 C,12829,40,-3,-15
8482 C,12830,34,-8,-20
8483 C,12831,27,-6,-27
8484 C,12832,33,-6,-30
8485 C,12833,38,-6,-32
8500 C,12834,53,-6,-1
8501 C,12835,48,-15,4
8502 C,12836,39,-10,-8
8503 C,12837,24,-6,-7
8504 C,12838,31,-9,-13
8505 C,12839,35,-10,-12
8520 C,12840,49,-3,15
8521 C,12841,35,-5,9
8522 C,12842,30,-7,4
8523 C,12843,24,-8,2
8524 C,12844,29,-10,-3
8525 C,12845,32,-9,-5
8540 C,12846,39,25,7
8541 C,12847,33,20,5
8542 C,12848,27,24,6
8543 C,12849,26,22,-3
8544 C,12850,30,21,-8
8545 C,12851,31,19,-9
8560 C,12852,37,18,18
8561 C,12853,35,22,10
